Names for me,,LCSC Links,,,,Final Clean,Quantity FOR ONE BOARD,,,LCSC Part Number,Quantity,,,,,,
C100nF,,https://www.lcsc.com/product-detail/C5632430.html,,,,C5632430,1,,,C5632430,5,,,,,,
C10uF,,https://www.lcsc.com/product-detail/C454418.html,,,,C454418,2,,,C454418,10,,,,,,
C10uF,,https://www.lcsc.com/product-detail/C454418.html,,,,C2887266,2,,,C2887266,10,,,,,,
C1nF,,https://www.lcsc.com/product-detail/C2887266.html,,,,C397097,1,,,C397097,5,,,,,,
C1nF,,https://www.lcsc.com/product-detail/C2887266.html,,,,C173063,1,,,C173063,5,,,,,,
C47uF,,https://www.lcsc.com/product-detail/C397097.html,,,,C57435,1,,,C57435,5,,,,,,
R0r,,https://www.lcsc.com/product-detail/C173063.html,,,,C173145,5,,,C173145,25,,,,,,
R1k,,https://www.lcsc.com/product-detail/C57435.html,,,,C479385,3,,,C479385,15,,,,,,
R1M,,https://www.lcsc.com/product-detail/C173145.html,,,,C119354,2,,,C119354,10,,,,,,
R1M,,https://www.lcsc.com/product-detail/C173145.html,,,,C4370424,1,,,C4370424,5,,,,,,
R1M,,https://www.lcsc.com/product-detail/C173145.html,,,,,,,,,,,,,,,
R1M,,https://www.lcsc.com/product-detail/C173145.html,,,,,,,,,,,,,,,
R1M,,https://www.lcsc.com/product-detail/C173145.html,,,,,,,,Total (five broamps),,,,,"Total (5, NZD)",,
R220k,,https://www.lcsc.com/product-detail/C479385.html,,,,,Total parts (including shipping to nz through lcsc),,,28.05,USD,Total parts (including shipping to nz through lcsc),,,49.15,NZD,
R220k,,https://www.lcsc.com/product-detail/C479385.html,,,,,,Total PCB (with shipping to nz),,16.1,USD,,Total PCB (with shipping to nz),,28.21,NZD,
R220k,,https://www.lcsc.com/product-detail/C479385.html,,,,,,,,,,,,,,,
R22k,,https://www.lcsc.com/product-detail/C119354.html,,,,,,,total for 5:,44.15,,,,total for 5:,77.36,NZD,
R22k,,https://www.lcsc.com/product-detail/C119354.html,,,,,,,"total (for selling, etc) for 1",,8.83,,,"total (for selling, etc) for 1",,15.472,NZD
TL074HIPWR,,https://www.lcsc.com/product-detail/C4370424.html,,,,,,,,,,,,,,,
,,* please note that i designed the pcb so that you can solder quite a few sizes of capacitors and resistors they may just require extra vertical space/wire,,,,,,,,,,,,,,,
,,for the resistors and capacitors you can use some pretty standard parts,,,,,,,,,,,,,,,
,,but yeah i proabably wouldn't get the capacitors and resistors manufactured as you will need to bend the wires to fit in the holes but i would get the board machined. If i'm going to sell this I can solder the capacitors and resistors myself :),,,,,,,,,,,,,,,